triplestoreName,file,loading_time_seconds,graph_size,memory_used_mb
jena.4.10.0,Department4.nt,5.27,1233164,3145.70
jena.4.10.0,Department0.nt,10.24,2465755,3820.98
jena.4.10.0,Department1.nt,15.10,3706662,3315.70
jena.4.10.0,Department5.nt,19.45,4958336,1158.04
jena.4.10.0,Department2.nt,23.19,6210470,1587.57
jena.4.10.0,Department6.nt,27.29,7467449,1425.65
jena.4.10.0,Department7.nt,31.73,8713081,2559.76
jena.4.10.0,Department3.nt,35.71,9966184,1868.85
jena.4.10.0,Department8.nt,40.70,11215260,1975.48
jena.4.10.0,Department9.nt,44.95,12479101,2049.15
