triplestoreName,file,loading_time_seconds,graph_size,memory_used_mb
corese.4.6.3,Department4.nt,31.40,1233162,1545.5
corese.4.6.3,Department0.nt,62.23,2466672,1533.38
corese.4.6.3,Department1.nt,93.09,3708498,1133.4
corese.4.6.3,Department5.nt,124.29,4961091,1830.78
corese.4.6.3,Department2.nt,156.11,6214144,1803.5
corese.4.6.3,Department6.nt,188.23,7472042,1302.30
corese.4.6.3,Department7.nt,219.76,8718593,1925.1
corese.4.6.3,Department3.nt,251.25,9972615,1407.16
corese.4.6.3,Department8.nt,283.10,11222610,1855.9
corese.4.6.3,Department9.nt,315.04,12487370,1790.94
