triplestoreName,file,loading_time_seconds,graph_size,memory_used_mb
corese.4.6.3,Department4.nt,30.63,1233164,1604.29
corese.4.6.3,Department0.nt,61.33,2466676,1628.77
corese.4.6.3,Department1.nt,93.40,3708504,782.09
corese.4.6.3,Department5.nt,124.90,4961099,1577.03
corese.4.6.3,Department2.nt,156.42,6214154,1415.54
corese.4.6.3,Department6.nt,187.68,7472054,1566.54
corese.4.6.3,Department7.nt,219.00,8718607,1585.42
corese.4.6.3,Department3.nt,250.48,9972631,1954.51
corese.4.6.3,Department8.nt,282.39,11222628,1589.61
corese.4.6.3,Department9.nt,314.93,12487390,1723.83
