triplestoreName,file,loading_time_seconds,graph_size,memory_used_mb
corese.4.6.3,redirects_en.nt,67.51,4082533,1629.80
corese.4.6.3,disambiguations_en.nt,80.05,4851457,3504.65
corese.4.6.3,homepages_en.nt,85.94,5246354,2477.05
corese.4.6.3,geo_coordinates_en.nt,112.74,6709246,3130.98
corese.4.6.3,instance_types_en.nt,200.31,12204836,2133.23
corese.4.6.3,category_labels_en.nt,211.02,12769944,2600.42
corese.4.6.3,skos_categories_en.nt,253.37,15017875,2660.66
corese.4.6.3,images_en.nt,346.71,19221480,3693.43
corese.4.6.3,specific_mappingbased_properties_en.nt,350.27,19405563,4414.86
corese.4.6.3,persondata_en.nt,356.14,19762559,3899.42
